STATE,COUNTY,STATENAME,TOTAL,NUMM1112,NUMF1112,NUMM1826,NUMF1826,PPM1112,PPF1112,PPM1826,PPF1826,INITM1112,INITF1112,INITM1826,INITF1826
33,7,NA,585342,0.002728866,0.002615879,0.00232474,0.001855515,0.398938281,0.434591555,0.123137268,0.132549889,0.217865752,0.194601451,0.221083384,0.218044581
33,9,NA,1604466,0.007077871,0.006977778,0.008836733,0.008604219,0.377489844,0.42292164,0.203488518,0.310649511,0.219359063,0.193464822,0.316329357,0.357980687
33,11,NA,7257984,0.040555814,0.040339686,0.032589296,0.032570391,0.478156724,0.540492627,0.150077143,0.239327652,0.318051974,0.263580372,0.275301873,0.322915154
33,13,NA,2649264,0.014114132,0.013842186,0.011491935,0.011197018,0.455892133,0.508104174,0.142127947,0.218151985,0.270038975,0.233930269,0.269498246,0.330753857
33,15,NA,5367200,0.030547062,0.030437414,0.021142966,0.020005837,0.487028986,0.551484455,0.121208897,0.177503967,0.293729462,0.250635957,0.251047343,0.292784778
33,17,NA,2246226,0.010855063,0.010959681,0.013078433,0.014029948,0.41353477,0.474479798,0.219964183,0.382465356,0.260904459,0.225373222,0.30987973,0.436719628
33,19,NA,779900,0.004053031,0.003997299,0.00281517,0.002854336,0.444707173,0.498426326,0.104098215,0.172294142,0.264428168,0.240341697,0.219214461,0.25450476
34,1,NJ,4937984,0.027395376,0.026962172,0.022026583,0.022739015,0.474745367,0.530980354,0.148541352,0.248894763,0.377976951,0.311046768,0.322739995,0.393002185
34,3,NJ,16564596,0.092362664,0.092119121,0.065156421,0.065827826,0.477143236,0.540806899,0.120884514,0.197531292,0.38004164,0.323016008,0.328480972,0.394773443
34,5,NJ,8096886,0.045267236,0.045783487,0.03785241,0.032972453,0.478408732,0.54987519,0.159762601,0.205539156,0.315094277,0.271189355,0.275157346,0.311864254
34,7,NJ,9219504,0.052672625,0.052659792,0.043077637,0.044401884,0.488889299,0.555449876,0.159629856,0.266048952,0.382284633,0.313904365,0.314403891,0.371614193
34,9,NJ,1730838,0.007703376,0.007641195,0.007336394,0.006530417,0.380853419,0.429317054,0.136961472,0.181311989,0.25766723,0.214155709,0.235893792,0.257994917
34,11,NJ,2811686,0.015347021,0.015509827,0.015226786,0.01297914,0.467079103,0.536430434,0.198621812,0.249847668,0.452282211,0.386066498,0.345499516,0.416215153
34,13,NJ,14205044,0.081299547,0.082631835,0.067428259,0.070532726,0.489754787,0.565689438,0.163520794,0.27818078,0.408635617,0.346963385,0.337258861,0.414706799
34,15,NJ,5224040,0.031399413,0.030860798,0.023466022,0.023401158,0.514337475,0.574478709,0.150179751,0.238689811,0.338864558,0.278328645,0.296913802,0.343937466
